Timestamp,Şirket lokasyon,Çalışma türü,Çalışma şekli,Toplam kaç yıllık iş deneyimin var?,Hangi seviyedesin?,Hangi programlama dillerini kullanıyorsun,Ne yapıyorsun?,Aylık ortalama net kaç bin TL alıyorsun?,Cinsiyet
8/2/2024 23:30:42,Türkiye,Tam zamanlı,Remote,4,Mid,"HTML/CSS, JavaScript, TypeScript, PHP, C#, SQL",Fullstack,71 - 80,
8/2/2024 23:30:44,Türkiye,Tam zamanlı,Hybrid,4,Mid,"Java, SQL",Backend,61 - 70,
8/2/2024 23:31:31,Türkiye,Tam zamanlı,Remote,8,Senior,"HTML/CSS, JavaScript",Frontend,101 - 110,
8/2/2024 23:31:33,Türkiye,Tam zamanlı,Remote,4,Mid,"Java, SQL",Backend,51 - 60,
8/2/2024 23:32:32,Türkiye,Tam zamanlı,Remote,6,Mid,"HTML/CSS, JavaScript, C#, SQL",Fullstack,51 - 60,
8/2/2024 23:33:25,Avrupa,Tam zamanlı,Office,2,Senior,HTML/CSS,Frontend,300 +,
8/2/2024 23:35:22,Amerika,Tam zamanlı,Remote,4,Senior,"JavaScript, TypeScript",Frontend,81 - 90,
8/2/2024 23:36:29,Türkiye,Tam zamanlı,Hybrid,4,Mid,"C#, Kotlin, Swift, Python, Dart",iOS,51 - 60,
8/2/2024 23:36:49,Türkiye,Tam zamanlı,Remote,3,Mid,Java,Backend,61 - 70,
8/2/2024 23:38:38,Yurtdışı TR hub,Tam zamanlı,Remote,7,Senior,"HTML/CSS, JavaScript, C#, SQL",Fullstack,91 - 100,
8/2/2024 23:38:47,Türkiye,Yarı zamanlı,Office,1,Junior,C#,Fullstack,11 - 20,
8/2/2024 23:39:08,Türkiye,Tam zamanlı,Remote,3,Mid,"JavaScript, TypeScript, Python, SQL",DevOps,61 - 70,
8/2/2024 23:39:45,Türkiye,Tam zamanlı,Remote,6,Senior,Hiçbiri,Manuel Tester,41 - 50,
8/2/2024 23:42:08,Türkiye,Tam zamanlı,Hybrid,5,Senior,Java,Backend,81 - 90,
8/2/2024 23:42:20,Türkiye,Tam zamanlı,Remote,11 - 15,Staff Engineer,"HTML/CSS, JavaScript, TypeScript",Fullstack,300 +,
8/2/2024 23:42:53,Türkiye,Tam zamanlı,Remote,10,Senior,"JavaScript, TypeScript",Fullstack,61 - 70,
8/2/2024 23:45:45,Türkiye,Tam zamanlı,Remote,4,Mid,Java,Backend,91 - 100,
8/2/2024 23:46:49,Türkiye,Tam zamanlı,Hybrid,6,Senior,"Java, Go, Kotlin",Backend,111 - 120,
8/2/2024 23:46:50,Türkiye,Tam zamanlı,Remote,11 - 15,Team Lead,"JavaScript, C#, SQL",Backend,91 - 100,
8/2/2024 23:47:21,Türkiye,Tam zamanlı,Remote,20 - 30,Senior,"Python, SQL",Data Engineer,111 - 120,
8/2/2024 23:48:13,Türkiye,Tam zamanlı,Remote,5,Senior,Hiçbiri,DevOps,121 - 130,
8/2/2024 23:49:43,Türkiye,Tam zamanlı,Remote,4,Mid,"HTML/CSS, JavaScript, TypeScript",Fullstack,111 - 120,
8/2/2024 23:50:09,Türkiye,Tam zamanlı,Remote,10,Architect,C#,Fullstack,171 - 180,
8/2/2024 23:50:23,Türkiye,Tam zamanlı,Remote,4,Senior,"JavaScript, TypeScript",Frontend,51 - 60,
8/2/2024 23:50:58,Türkiye,Tam zamanlı,Remote,7,Senior,Hiçbiri,Fullstack,41 - 50,
8/2/2024 23:51:35,Türkiye,Tam zamanlı,Remote,8,Senior,"JavaScript, Java, Kotlin",Backend,101 - 110,
8/2/2024 23:52:25,Türkiye,Tam zamanlı,Remote,2,Mid,"HTML/CSS, JavaScript, Java",Fullstack,51 - 60,
8/2/2024 23:52:29,Türkiye,Tam zamanlı,Remote,3,Mid,"Python, Bash",DevOps,61 - 70,
8/2/2024 23:52:38,Türkiye,Tam zamanlı,Remote,6,Mid,"JavaScript, TypeScript, Java",Fullstack,81 - 90,
8/2/2024 23:52:41,Türkiye,Tam zamanlı,Remote,5,Senior,Java,Fullstack,121 - 130,
8/2/2024 23:55:58,Türkiye,Tam zamanlı,Office,1,Junior,Matlab,Backend,61 - 70,
8/2/2024 23:56:28,Türkiye,Tam zamanlı,Remote,4,Mid,"Java, Go, C#, Python",Backend,131 - 140,
8/2/2024 23:57:39,Türkiye,Tam zamanlı,Hybrid,11 - 15,Senior,"HTML/CSS, JavaScript, TypeScript, C#, SQL",Fullstack,121 - 130,
8/2/2024 23:58:02,Türkiye,Tam zamanlı,Remote,10,Senior,"HTML/CSS, JavaScript",Frontend,51 - 60,
8/2/2024 23:58:57,Türkiye,Tam zamanlı,Remote,4,Mid,"HTML/CSS, JavaScript, TypeScript, Java, Swift",React Native,71 - 80,
8/2/2024 23:58:57,Türkiye,Tam zamanlı,Hybrid,5,Team Lead,"HTML/CSS, JavaScript, TypeScript, Go",Fullstack,61 - 70,
8/2/2024 23:59:18,Türkiye,Tam zamanlı,Hybrid,1,Junior,"Java, SQL",Backend,31 - 40,
8/2/2024 23:59:20,Türkiye,Tam zamanlı,Remote,6,Senior,Java,Backend,81 - 90,
8/2/2024 23:59:22,Türkiye,Tam zamanlı,Office,5,Mid,"HTML/CSS, JavaScript, TypeScript, Java, C#, SQL",Fullstack,41 - 50,
8/2/2024 23:59:23,Türkiye,Tam zamanlı,Remote,7,Senior,C#,Backend,61 - 70,
8/3/2024 0:00:05,Türkiye,Tam zamanlı,Remote,3,Mid,"JavaScript, Go",Backend,51 - 60,
8/3/2024 0:00:09,Türkiye,Tam zamanlı,Hybrid,11 - 15,Engineering Manager,C#,Backend,141 - 150,
8/3/2024 0:02:16,Türkiye,Tam zamanlı,Remote,9,Senior,"Java, SQL",Backend,81 - 90,
8/3/2024 0:04:18,Türkiye,Tam zamanlı,Hybrid,20 - 30,Architect,"HTML/CSS, JavaScript, PHP, Python, Bash",IT Specialist,191 - 200,
8/3/2024 0:04:44,Türkiye,Tam zamanlı,Remote,10,Architect,C#,Backend,141 - 150,
